Job Title,Company,Platform,Skill,Language,Location,Job Description,Job Type,Salary Range
Security Guard,Company_8177,Indeed,Health Awareness,Tamil,West Bengal,Looking for Security Guard in West Bengal with skills in Health Awareness.,Full-time,18123 INR/month
Beautician Assistant,Company_4770,JobHai,Cooking,Hindi,Chhattisgarh,Looking for Beautician Assistant in Chhattisgarh with skills in Cooking.,Full-time,Negotiable
Housekeeper,Company_2160,Indeed,Basic Computer,Hindi,West Bengal,Looking for Housekeeper in West Bengal with skills in Basic Computer.,Full-time,25906 INR/month
NGO Worker,Company_8749,Naukri,Caregiving,Telugu,Madhya Pradesh,Looking for NGO Worker in Madhya Pradesh with skills in Caregiving.,Full-time,Negotiable
Content Writer,Company_8651,WorkIndia,Time Management,Tamil,Uttarakhand,Looking for Content Writer in Uttarakhand with skills in Time Management.,Full-time,Negotiable
Content Writer,Company_5073,Apna,Crafting,Gujarati,Bihar,Looking for Content Writer in Bihar with skills in Crafting.,Part-time,14593 INR/month
Customer Support,Company_2235,Naukri,Teaching,Telugu,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Teaching.,Part-time,28033 INR/month
Content Writer,Company_4872,Apna,Packing,Hindi,Bihar,Looking for Content Writer in Bihar with skills in Packing.,Part-time,17004 INR/month
Caregiver,Company_7396,Apna,Basic Accounting,Tamil,Uttar Pradesh,Looking for Caregiver in Uttar Pradesh with skills in Basic Accounting.,Part-time,24909 INR/month
Anganwadi Worker,Company_4111,WorkIndia,Listening,Telugu,Rajasthan,Looking for Anganwadi Worker in Rajasthan with skills in Listening.,Part-time,28978 INR/month
Security Guard,Company_8811,Apna,Cooking,Hindi,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Cooking.,Full-time,15158 INR/month
Housekeeper,Company_4853,JobHai,Basic Accounting,English,Bihar,Looking for Housekeeper in Bihar with skills in Basic Accounting.,Part-time,28667 INR/month
Beautician Assistant,Company_9565,Apna,Cleaning,English,Uttarakhand,Looking for Beautician Assistant in Uttarakhand with skills in Cleaning.,Part-time,20295 INR/month
Beautician Assistant,Company_8491,Internshala,Crafting,Bengali,Maharashtra,Looking for Beautician Assistant in Maharashtra with skills in Crafting.,Part-time,12377 INR/month
Tailor,Company_9808,FreshersWorld,Cleaning,English,Bihar,Looking for Tailor in Bihar with skills in Cleaning.,Part-time,21436 INR/month
Data Entry Operator,Company_8179,Indeed,Time Management,Punjabi,Rajasthan,Looking for Data Entry Operator in Rajasthan with skills in Time Management.,Full-time,27332 INR/month
Tailor,Company_2891,Internshala,Data Entry,Bengali,Maharashtra,Looking for Tailor in Maharashtra with skills in Data Entry.,Full-time,15093 INR/month
Health Worker (ASHA),Company_4335,Internshala,Cleaning,Marathi,West Bengal,Looking for Health Worker (ASHA) in West Bengal with skills in Cleaning.,Full-time,26561 INR/month
Packing Assistant,Company_5533,Internshala,Sewing,English,Uttarakhand,Looking for Packing Assistant in Uttarakhand with skills in Sewing.,Part-time,14286 INR/month
Health Worker (ASHA),Company_1158,Naukri,Marketing,Tamil,Chhattisgarh,Looking for Health Worker (ASHA) in Chhattisgarh with skills in Marketing.,Part-time,14884 INR/month
Security Guard,Company_3088,Apna,Time Management,Bengali,Uttarakhand,Looking for Security Guard in Uttarakhand with skills in Time Management.,Part-time,11307 INR/month
Delivery Boy,Company_7658,Indeed,Customer Support,English,West Bengal,Looking for Delivery Boy in West Bengal with skills in Customer Support.,Full-time,17757 INR/month
Online Tutor,Company_6442,Naukri,Grooming,Hindi,Rajasthan,Looking for Online Tutor in Rajasthan with skills in Grooming.,Full-time,18131 INR/month
Health Worker (ASHA),Company_8711,Naukri,Data Entry,Tamil,Uttar Pradesh,Looking for Health Worker (ASHA) in Uttar Pradesh with skills in Data Entry.,Part-time,25083 INR/month
Delivery Boy,Company_4164,Internshala,Customer Support,Marathi,Uttar Pradesh,Looking for Delivery Boy in Uttar Pradesh with skills in Customer Support.,Part-time,12274 INR/month
Health Worker (ASHA),Company_6425,Shine,Packing,Tamil,Chhattisgarh,Looking for Health Worker (ASHA) in Chhattisgarh with skills in Packing.,Full-time,Negotiable
Health Worker (ASHA),Company_2776,Naukri,Caregiving,Punjabi,Uttar Pradesh,Looking for Health Worker (ASHA) in Uttar Pradesh with skills in Caregiving.,Full-time,20278 INR/month
Customer Support,Company_1727,JobHai,Crafting,Marathi,Maharashtra,Looking for Customer Support in Maharashtra with skills in Crafting.,Full-time,Negotiable
Security Guard,Company_6409,Indeed,Time Management,Tamil,Bihar,Looking for Security Guard in Bihar with skills in Time Management.,Full-time,14083 INR/month
Anganwadi Worker,Company_5844,Internshala,Grooming,Gujarati,Uttarakhand,Looking for Anganwadi Worker in Uttarakhand with skills in Grooming.,Full-time,Negotiable
Caregiver,Company_9977,Naukri,Cleaning,Punjabi,Uttarakhand,Looking for Caregiver in Uttarakhand with skills in Cleaning.,Full-time,16887 INR/month
Customer Support,Company_4501,Shine,Marketing,Telugu,Haryana,Looking for Customer Support in Haryana with skills in Marketing.,Full-time,15560 INR/month
Data Entry Operator,Company_4848,Internshala,Call Handling,Gujarati,Bihar,Looking for Data Entry Operator in Bihar with skills in Call Handling.,Full-time,16525 INR/month
Telecaller,Company_2193,Apna,Sewing,Marathi,Haryana,Looking for Telecaller in Haryana with skills in Sewing.,Part-time,28863 INR/month
NGO Worker,Company_3417,WorkIndia,Social Media Promotion,Tamil,Madhya Pradesh,Looking for NGO Worker in Madhya Pradesh with skills in Social Media Promotion.,Full-time,Negotiable
Content Writer,Company_8611,WorkIndia,Customer Support,Bengali,Chhattisgarh,Looking for Content Writer in Chhattisgarh with skills in Customer Support.,Part-time,13976 INR/month
Social Media Assistant,Company_9270,Naukri,Marketing,Gujarati,Haryana,Looking for Social Media Assistant in Haryana with skills in Marketing.,Part-time,24611 INR/month
Online Tutor,Company_5543,FreshersWorld,Marketing,Punjabi,Madhya Pradesh,Looking for Online Tutor in Madhya Pradesh with skills in Marketing.,Full-time,17839 INR/month
Health Worker (ASHA),Company_5451,FreshersWorld,Basic Computer,Punjabi,Madhya Pradesh,Looking for Health Worker (ASHA) in Madhya Pradesh with skills in Basic Computer.,Part-time,12640 INR/month
Telecaller,Company_4505,Naukri,Customer Support,Tamil,Rajasthan,Looking for Telecaller in Rajasthan with skills in Customer Support.,Part-time,27780 INR/month
Social Media Assistant,Company_7381,WorkIndia,Sewing,Marathi,Uttarakhand,Looking for Social Media Assistant in Uttarakhand with skills in Sewing.,Full-time,10640 INR/month
Warehouse Helper,Company_5892,WorkIndia,Social Media Promotion,Hindi,West Bengal,Looking for Warehouse Helper in West Bengal with skills in Social Media Promotion.,Full-time,23730 INR/month
Security Guard,Company_8140,Indeed,Social Media Promotion,Marathi,Maharashtra,Looking for Security Guard in Maharashtra with skills in Social Media Promotion.,Part-time,23248 INR/month
Online Tutor,Company_1444,FreshersWorld,Content Writing,Hindi,Uttarakhand,Looking for Online Tutor in Uttarakhand with skills in Content Writing.,Part-time,25128 INR/month
Online Tutor,Company_4467,Apna,Teaching,Tamil,West Bengal,Looking for Online Tutor in West Bengal with skills in Teaching.,Part-time,22423 INR/month
Health Worker (ASHA),Company_1317,WorkIndia,Teaching,English,Haryana,Looking for Health Worker (ASHA) in Haryana with skills in Teaching.,Full-time,Negotiable
Delivery Boy,Company_1508,Indeed,Packing,English,Uttar Pradesh,Looking for Delivery Boy in Uttar Pradesh with skills in Packing.,Full-time,Negotiable
Tailor,Company_2874,Naukri,Customer Support,Bengali,Haryana,Looking for Tailor in Haryana with skills in Customer Support.,Full-time,18396 INR/month
Delivery Boy,Company_6096,Naukri,Cleaning,English,Rajasthan,Looking for Delivery Boy in Rajasthan with skills in Cleaning.,Part-time,Negotiable
Anganwadi Worker,Company_4978,WorkIndia,Crafting,Marathi,Bihar,Looking for Anganwadi Worker in Bihar with skills in Crafting.,Part-time,29674 INR/month
Content Writer,Company_2129,Apna,Time Management,Tamil,West Bengal,Looking for Content Writer in West Bengal with skills in Time Management.,Full-time,23764 INR/month
Packing Assistant,Company_3506,JobHai,Grooming,Gujarati,Haryana,Looking for Packing Assistant in Haryana with skills in Grooming.,Part-time,18850 INR/month
Security Guard,Company_6280,FreshersWorld,Marketing,Tamil,Maharashtra,Looking for Security Guard in Maharashtra with skills in Marketing.,Full-time,12839 INR/month
Health Worker (ASHA),Company_6511,FreshersWorld,Customer Support,Telugu,Uttarakhand,Looking for Health Worker (ASHA) in Uttarakhand with skills in Customer Support.,Part-time,15958 INR/month
Packing Assistant,Company_5581,Indeed,Time Management,Punjabi,West Bengal,Looking for Packing Assistant in West Bengal with skills in Time Management.,Full-time,19052 INR/month
Security Guard,Company_4954,Apna,Call Handling,Marathi,Bihar,Looking for Security Guard in Bihar with skills in Call Handling.,Full-time,17874 INR/month
Packing Assistant,Company_5820,FreshersWorld,Marketing,Hindi,Bihar,Looking for Packing Assistant in Bihar with skills in Marketing.,Part-time,20033 INR/month
Warehouse Helper,Company_6419,Shine,Social Media Promotion,Gujarati,Uttarakhand,Looking for Warehouse Helper in Uttarakhand with skills in Social Media Promotion.,Part-time,20047 INR/month
Health Worker (ASHA),Company_2958,Indeed,Data Entry,Marathi,West Bengal,Looking for Health Worker (ASHA) in West Bengal with skills in Data Entry.,Full-time,16066 INR/month
NGO Worker,Company_5636,Indeed,Social Media Promotion,Punjabi,Chhattisgarh,Looking for NGO Worker in Chhattisgarh with skills in Social Media Promotion.,Full-time,19707 INR/month
Beautician Assistant,Company_9751,Shine,Basic Accounting,Punjabi,Uttar Pradesh,Looking for Beautician Assistant in Uttar Pradesh with skills in Basic Accounting.,Part-time,Negotiable
Housekeeper,Company_1200,Internshala,Content Writing,Telugu,Bihar,Looking for Housekeeper in Bihar with skills in Content Writing.,Full-time,24433 INR/month
Cook,Company_2869,Naukri,Sewing,Punjabi,Haryana,Looking for Cook in Haryana with skills in Sewing.,Full-time,12427 INR/month
Warehouse Helper,Company_2395,Apna,Content Writing,Bengali,Maharashtra,Looking for Warehouse Helper in Maharashtra with skills in Content Writing.,Full-time,Negotiable
Customer Support,Company_8253,Indeed,Call Handling,Tamil,Haryana,Looking for Customer Support in Haryana with skills in Call Handling.,Part-time,24051 INR/month
Anganwadi Worker,Company_4457,Apna,Cleaning,English,Madhya Pradesh,Looking for Anganwadi Worker in Madhya Pradesh with skills in Cleaning.,Part-time,Negotiable
Beautician Assistant,Company_1043,Naukri,Listening,English,Rajasthan,Looking for Beautician Assistant in Rajasthan with skills in Listening.,Part-time,25398 INR/month
Anganwadi Worker,Company_8438,Apna,Customer Support,Punjabi,Maharashtra,Looking for Anganwadi Worker in Maharashtra with skills in Customer Support.,Part-time,18668 INR/month
Warehouse Helper,Company_4683,Indeed,Grooming,English,Chhattisgarh,Looking for Warehouse Helper in Chhattisgarh with skills in Grooming.,Full-time,14660 INR/month
Data Entry Operator,Company_8195,Apna,Basic Accounting,Punjabi,Maharashtra,Looking for Data Entry Operator in Maharashtra with skills in Basic Accounting.,Part-time,23189 INR/month
Health Worker (ASHA),Company_8078,FreshersWorld,Marketing,English,Uttar Pradesh,Looking for Health Worker (ASHA) in Uttar Pradesh with skills in Marketing.,Full-time,10847 INR/month
Data Entry Operator,Company_1659,Indeed,Caregiving,Hindi,Maharashtra,Looking for Data Entry Operator in Maharashtra with skills in Caregiving.,Full-time,Negotiable
Sales Girl,Company_9056,FreshersWorld,Teaching,Bengali,Uttarakhand,Looking for Sales Girl in Uttarakhand with skills in Teaching.,Full-time,23380 INR/month
Cook,Company_7744,Shine,Data Entry,Bengali,West Bengal,Looking for Cook in West Bengal with skills in Data Entry.,Full-time,23122 INR/month
Security Guard,Company_5135,Apna,Marketing,English,West Bengal,Looking for Security Guard in West Bengal with skills in Marketing.,Part-time,23244 INR/month
Sales Girl,Company_1888,Apna,Listening,Telugu,Uttarakhand,Looking for Sales Girl in Uttarakhand with skills in Listening.,Part-time,26334 INR/month
Social Media Assistant,Company_3146,Apna,Communication,Punjabi,Chhattisgarh,Looking for Social Media Assistant in Chhattisgarh with skills in Communication.,Full-time,25883 INR/month
Content Writer,Company_6091,Apna,Packing,Marathi,Rajasthan,Looking for Content Writer in Rajasthan with skills in Packing.,Full-time,13054 INR/month
Beautician Assistant,Company_9165,JobHai,Marketing,English,Rajasthan,Looking for Beautician Assistant in Rajasthan with skills in Marketing.,Full-time,18959 INR/month
Customer Support,Company_3369,FreshersWorld,Social Media Promotion,Marathi,Haryana,Looking for Customer Support in Haryana with skills in Social Media Promotion.,Part-time,26654 INR/month
Telecaller,Company_9318,JobHai,Teaching,Tamil,West Bengal,Looking for Telecaller in West Bengal with skills in Teaching.,Part-time,Negotiable
Anganwadi Worker,Company_8935,FreshersWorld,Content Writing,Telugu,Chhattisgarh,Looking for Anganwadi Worker in Chhattisgarh with skills in Content Writing.,Part-time,27807 INR/month
Caregiver,Company_7274,FreshersWorld,Cooking,Marathi,Madhya Pradesh,Looking for Caregiver in Madhya Pradesh with skills in Cooking.,Part-time,11430 INR/month
Cook,Company_9115,FreshersWorld,Crafting,Tamil,Rajasthan,Looking for Cook in Rajasthan with skills in Crafting.,Full-time,Negotiable
Warehouse Helper,Company_9617,Shine,Data Entry,Telugu,Bihar,Looking for Warehouse Helper in Bihar with skills in Data Entry.,Full-time,Negotiable
Telecaller,Company_8692,WorkIndia,Packing,Bengali,Bihar,Looking for Telecaller in Bihar with skills in Packing.,Full-time,23024 INR/month
Data Entry Operator,Company_8994,Shine,Listening,Tamil,West Bengal,Looking for Data Entry Operator in West Bengal with skills in Listening.,Full-time,Negotiable
Data Entry Operator,Company_2480,Indeed,Packing,Punjabi,Madhya Pradesh,Looking for Data Entry Operator in Madhya Pradesh with skills in Packing.,Part-time,Negotiable
Content Writer,Company_1753,FreshersWorld,Basic Accounting,Punjabi,Uttar Pradesh,Looking for Content Writer in Uttar Pradesh with skills in Basic Accounting.,Part-time,Negotiable
Delivery Boy,Company_9702,Shine,Grooming,Bengali,Madhya Pradesh,Looking for Delivery Boy in Madhya Pradesh with skills in Grooming.,Part-time,15900 INR/month
Online Tutor,Company_9153,Naukri,Basic Computer,Tamil,Madhya Pradesh,Looking for Online Tutor in Madhya Pradesh with skills in Basic Computer.,Full-time,Negotiable
Social Media Assistant,Company_8622,Internshala,Marketing,Punjabi,Uttar Pradesh,Looking for Social Media Assistant in Uttar Pradesh with skills in Marketing.,Full-time,15176 INR/month
Data Entry Operator,Company_5097,FreshersWorld,Time Management,Punjabi,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Time Management.,Part-time,22605 INR/month
Packing Assistant,Company_5847,JobHai,Customer Support,Tamil,West Bengal,Looking for Packing Assistant in West Bengal with skills in Customer Support.,Full-time,22969 INR/month
Health Worker (ASHA),Company_5689,Apna,Caregiving,Hindi,Haryana,Looking for Health Worker (ASHA) in Haryana with skills in Caregiving.,Full-time,21544 INR/month
Beautician Assistant,Company_2591,Indeed,Cleaning,Punjabi,Rajasthan,Looking for Beautician Assistant in Rajasthan with skills in Cleaning.,Full-time,20123 INR/month
Social Media Assistant,Company_2476,Apna,Caregiving,Gujarati,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Caregiving.,Full-time,23615 INR/month
Online Tutor,Company_9221,Indeed,Content Writing,Gujarati,Chhattisgarh,Looking for Online Tutor in Chhattisgarh with skills in Content Writing.,Full-time,18420 INR/month
Packing Assistant,Company_2233,Internshala,Cooking,English,Haryana,Looking for Packing Assistant in Haryana with skills in Cooking.,Part-time,23022 INR/month
Security Guard,Company_5332,Shine,Basic Computer,Tamil,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Basic Computer.,Full-time,18590 INR/month
Warehouse Helper,Company_4830,WorkIndia,Packing,Gujarati,Bihar,Looking for Warehouse Helper in Bihar with skills in Packing.,Part-time,28396 INR/month
Cook,Company_5951,Indeed,Packing,English,Haryana,Looking for Cook in Haryana with skills in Packing.,Full-time,Negotiable
Housekeeper,Company_2592,Apna,Health Awareness,Telugu,Bihar,Looking for Housekeeper in Bihar with skills in Health Awareness.,Part-time,22735 INR/month
Social Media Assistant,Company_7797,Shine,Listening,Tamil,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Listening.,Full-time,23373 INR/month
Health Worker (ASHA),Company_8285,Apna,Time Management,Marathi,Haryana,Looking for Health Worker (ASHA) in Haryana with skills in Time Management.,Full-time,13255 INR/month
Delivery Boy,Company_4109,Shine,Sewing,Tamil,Maharashtra,Looking for Delivery Boy in Maharashtra with skills in Sewing.,Full-time,24900 INR/month
Data Entry Operator,Company_6464,Indeed,Packing,Hindi,Uttar Pradesh,Looking for Data Entry Operator in Uttar Pradesh with skills in Packing.,Part-time,Negotiable
Warehouse Helper,Company_4817,Indeed,Basic Computer,Marathi,Madhya Pradesh,Looking for Warehouse Helper in Madhya Pradesh with skills in Basic Computer.,Part-time,Negotiable
Tailor,Company_5106,Internshala,Content Writing,Bengali,Chhattisgarh,Looking for Tailor in Chhattisgarh with skills in Content Writing.,Full-time,Negotiable
Tailor,Company_6304,Naukri,Tailoring,Gujarati,Madhya Pradesh,Looking for Tailor in Madhya Pradesh with skills in Tailoring.,Part-time,14153 INR/month
Customer Support,Company_6931,JobHai,Basic Computer,Telugu,Haryana,Looking for Customer Support in Haryana with skills in Basic Computer.,Full-time,Negotiable
Sales Girl,Company_5941,Indeed,Cleaning,Hindi,Chhattisgarh,Looking for Sales Girl in Chhattisgarh with skills in Cleaning.,Part-time,11993 INR/month
Packing Assistant,Company_8267,WorkIndia,Grooming,English,Haryana,Looking for Packing Assistant in Haryana with skills in Grooming.,Part-time,Negotiable
Telecaller,Company_6327,JobHai,Content Writing,Punjabi,Chhattisgarh,Looking for Telecaller in Chhattisgarh with skills in Content Writing.,Part-time,19663 INR/month
Social Media Assistant,Company_4522,WorkIndia,Data Entry,English,Chhattisgarh,Looking for Social Media Assistant in Chhattisgarh with skills in Data Entry.,Part-time,23559 INR/month
Cook,Company_6120,FreshersWorld,Crafting,Tamil,Bihar,Looking for Cook in Bihar with skills in Crafting.,Part-time,22265 INR/month
Telecaller,Company_2527,FreshersWorld,Basic Computer,English,Bihar,Looking for Telecaller in Bihar with skills in Basic Computer.,Part-time,22210 INR/month
Telecaller,Company_7730,Apna,Caregiving,Gujarati,Bihar,Looking for Telecaller in Bihar with skills in Caregiving.,Part-time,23858 INR/month
Housekeeper,Company_2697,Internshala,Cleaning,Punjabi,West Bengal,Looking for Housekeeper in West Bengal with skills in Cleaning.,Full-time,25800 INR/month
Beautician Assistant,Company_5564,JobHai,Time Management,Gujarati,Bihar,Looking for Beautician Assistant in Bihar with skills in Time Management.,Full-time,28381 INR/month
Security Guard,Company_3955,Apna,Cleaning,Punjabi,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Cleaning.,Part-time,21135 INR/month
Delivery Boy,Company_2140,Apna,Basic Accounting,Bengali,Uttarakhand,Looking for Delivery Boy in Uttarakhand with skills in Basic Accounting.,Part-time,11004 INR/month
Data Entry Operator,Company_6585,Indeed,Crafting,Tamil,Haryana,Looking for Data Entry Operator in Haryana with skills in Crafting.,Part-time,20629 INR/month
Warehouse Helper,Company_1815,JobHai,Sewing,Bengali,Rajasthan,Looking for Warehouse Helper in Rajasthan with skills in Sewing.,Full-time,23894 INR/month
Packing Assistant,Company_9394,FreshersWorld,Grooming,Punjabi,Madhya Pradesh,Looking for Packing Assistant in Madhya Pradesh with skills in Grooming.,Part-time,19281 INR/month
Warehouse Helper,Company_4612,FreshersWorld,Call Handling,Punjabi,Uttar Pradesh,Looking for Warehouse Helper in Uttar Pradesh with skills in Call Handling.,Part-time,10251 INR/month
NGO Worker,Company_5742,Internshala,Communication,Bengali,Maharashtra,Looking for NGO Worker in Maharashtra with skills in Communication.,Part-time,Negotiable
Customer Support,Company_4770,Naukri,Content Writing,Tamil,Chhattisgarh,Looking for Customer Support in Chhattisgarh with skills in Content Writing.,Full-time,21605 INR/month
Data Entry Operator,Company_8532,WorkIndia,Sewing,Tamil,Uttar Pradesh,Looking for Data Entry Operator in Uttar Pradesh with skills in Sewing.,Full-time,28866 INR/month
Customer Support,Company_2887,WorkIndia,Packing,Tamil,Maharashtra,Looking for Customer Support in Maharashtra with skills in Packing.,Part-time,15631 INR/month
Social Media Assistant,Company_4986,Shine,Basic Computer,Tamil,Bihar,Looking for Social Media Assistant in Bihar with skills in Basic Computer.,Part-time,12577 INR/month
Caregiver,Company_3754,Internshala,Cooking,Marathi,West Bengal,Looking for Caregiver in West Bengal with skills in Cooking.,Part-time,27386 INR/month
Sales Girl,Company_4871,Indeed,Time Management,Gujarati,Rajasthan,Looking for Sales Girl in Rajasthan with skills in Time Management.,Part-time,15685 INR/month
Telecaller,Company_8354,JobHai,Basic Accounting,Telugu,Haryana,Looking for Telecaller in Haryana with skills in Basic Accounting.,Full-time,20590 INR/month
Cook,Company_8245,Naukri,Marketing,English,Haryana,Looking for Cook in Haryana with skills in Marketing.,Full-time,29379 INR/month
Housekeeper,Company_8565,Shine,Call Handling,English,Maharashtra,Looking for Housekeeper in Maharashtra with skills in Call Handling.,Part-time,Negotiable
Anganwadi Worker,Company_7299,JobHai,Packing,English,Chhattisgarh,Looking for Anganwadi Worker in Chhattisgarh with skills in Packing.,Part-time,11344 INR/month
Social Media Assistant,Company_3471,Indeed,Cooking,Telugu,Chhattisgarh,Looking for Social Media Assistant in Chhattisgarh with skills in Cooking.,Full-time,21253 INR/month
Data Entry Operator,Company_8199,Naukri,Sewing,Marathi,Haryana,Looking for Data Entry Operator in Haryana with skills in Sewing.,Full-time,21924 INR/month
Delivery Boy,Company_1857,Internshala,Crafting,Tamil,West Bengal,Looking for Delivery Boy in West Bengal with skills in Crafting.,Full-time,12159 INR/month
Cook,Company_5128,JobHai,Listening,Tamil,Maharashtra,Looking for Cook in Maharashtra with skills in Listening.,Full-time,29749 INR/month
Telecaller,Company_6082,Shine,Basic Computer,Bengali,West Bengal,Looking for Telecaller in West Bengal with skills in Basic Computer.,Full-time,22843 INR/month
Telecaller,Company_3093,JobHai,Health Awareness,Tamil,West Bengal,Looking for Telecaller in West Bengal with skills in Health Awareness.,Full-time,27248 INR/month
Data Entry Operator,Company_6940,WorkIndia,Call Handling,Gujarati,Uttar Pradesh,Looking for Data Entry Operator in Uttar Pradesh with skills in Call Handling.,Part-time,21197 INR/month
Packing Assistant,Company_2264,Indeed,Customer Support,Bengali,Rajasthan,Looking for Packing Assistant in Rajasthan with skills in Customer Support.,Part-time,26635 INR/month
Security Guard,Company_3527,Apna,Cooking,Bengali,Uttarakhand,Looking for Security Guard in Uttarakhand with skills in Cooking.,Part-time,15424 INR/month
Social Media Assistant,Company_8277,Apna,Grooming,Gujarati,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Grooming.,Full-time,24710 INR/month
Beautician Assistant,Company_7026,Indeed,Health Awareness,Telugu,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Health Awareness.,Full-time,24437 INR/month
Social Media Assistant,Company_4271,Internshala,Crafting,Tamil,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Crafting.,Full-time,Negotiable
Health Worker (ASHA),Company_2680,Apna,Packing,Telugu,West Bengal,Looking for Health Worker (ASHA) in West Bengal with skills in Packing.,Full-time,14085 INR/month
Anganwadi Worker,Company_9410,JobHai,Basic Accounting,Punjabi,Haryana,Looking for Anganwadi Worker in Haryana with skills in Basic Accounting.,Part-time,17275 INR/month
Social Media Assistant,Company_7495,Shine,Tailoring,Tamil,Uttar Pradesh,Looking for Social Media Assistant in Uttar Pradesh with skills in Tailoring.,Full-time,12674 INR/month
Delivery Boy,Company_6493,Indeed,Tailoring,Gujarati,Bihar,Looking for Delivery Boy in Bihar with skills in Tailoring.,Full-time,Negotiable
Anganwadi Worker,Company_1086,FreshersWorld,Content Writing,Telugu,Haryana,Looking for Anganwadi Worker in Haryana with skills in Content Writing.,Full-time,Negotiable
NGO Worker,Company_5720,Naukri,Listening,Tamil,Bihar,Looking for NGO Worker in Bihar with skills in Listening.,Part-time,Negotiable
Beautician Assistant,Company_2816,WorkIndia,Packing,Telugu,Bihar,Looking for Beautician Assistant in Bihar with skills in Packing.,Full-time,27565 INR/month
Tailor,Company_1025,Indeed,Content Writing,Punjabi,Uttarakhand,Looking for Tailor in Uttarakhand with skills in Content Writing.,Full-time,23650 INR/month
Online Tutor,Company_9618,JobHai,Call Handling,Gujarati,Bihar,Looking for Online Tutor in Bihar with skills in Call Handling.,Full-time,26633 INR/month
Security Guard,Company_7338,Apna,Crafting,Telugu,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Crafting.,Full-time,10532 INR/month
Delivery Boy,Company_6447,JobHai,Time Management,Marathi,Bihar,Looking for Delivery Boy in Bihar with skills in Time Management.,Part-time,21093 INR/month
